RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,CLTUR_ART_VIEWNG_INTRST_DGREE_VALUE,CLTUR_ART_ACT_INTRST_DGREE_VALUE,SPORTS_VIEWNG_INTRST_DGREE_VALUE,SPORTS_ACT_INTRST_DGREE_VALUE,TURSM_TOUR_INTRST_DGREE_VALUE,RCRT_REST_INTRST_DGREE_VALUE,SELF_IMPT_SELF_MANAGE_INTRST_DGREE_VALUE,SCT_EXCHG_INTRST_DGREE_VALUE
"41927","20241106","M","20대","서울특별시","무응답","비슷하다","비슷하다","매우 작아졌다","매우 작아졌다","비슷하다","비슷하다","비슷하다","매우 작아졌다"
"169853","20241106","F","40대","전라남도","300이상500만원 미만","조금 커졌다","비슷하다","조금 작아졌다","조금 커졌다","조금 커졌다","비슷하다","비슷하다","매우 작아졌다"
"276522","20241106","M","30대","전라남도","300이상500만원 미만","조금 커졌다","비슷하다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","비슷하다","조금 커졌다"
"315650","20241106","F","20대","서울특별시","무응답","조금 커졌다","매우 작아졌다","매우 작아졌다","매우 커졌다","매우 작아졌다","매우 작아졌다","매우 커졌다","비슷하다"
"337589","20241106","M","20대","서울특별시","500이상700만원 미만","비슷하다","조금 작아졌다","비슷하다","조금 작아졌다","조금 커졌다","비슷하다","비슷하다","비슷하다"
"349455","20241106","M","20대","경상북도","무응답","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다"
"350386","20241106","F","20대","전라남도","무응답","매우 커졌다","조금 커졌다","비슷하다","비슷하다","매우 커졌다","조금 작아졌다","매우 커졌다","비슷하다"
"369585","20241106","M","30대","전라남도","무응답","조금 작아졌다","조금 작아졌다","조금 작아졌다","비슷하다","비슷하다","조금 커졌다","비슷하다","조금 작아졌다"
"380151","20241106","M","20대","대전광역시","무응답","비슷하다","조금 커졌다","비슷하다","비슷하다","조금 커졌다","조금 커졌다","비슷하다","비슷하다"
"391812","20241106","F","20대","세종특별자치시","무응답","비슷하다","조금 커졌다","조금 작아졌다","비슷하다","비슷하다","비슷하다","조금 커졌다","비슷하다"
"394153","20241106","M","20대","경기도","무응답","비슷하다","조금 커졌다","조금 작아졌다","비슷하다","매우 커졌다","비슷하다","비슷하다","조금 작아졌다"
"394430","20241106","M","20대","경기도","300만원 미만","매우 작아졌다","매우 작아졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다"
"401948","20241106","F","20대","제주특별자치도","무응답","비슷하다","비슷하다","비슷하다","조금 커졌다","조금 커졌다","조금 작아졌다","비슷하다","조금 커졌다"
"410086","20241106","M","20대","경기도","700만원 이상","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","비슷하다","조금 커졌다","조금 커졌다","비슷하다"
"411566","20241106","F","20대","경기도","300이상500만원 미만","매우 커졌다","매우 커졌다","비슷하다","비슷하다","조금 커졌다","매우 커졌다","조금 작아졌다","조금 커졌다"
"416237","20241106","M","30대","세종특별자치시","300이상500만원 미만","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","매우 커졌다","조금 작아졌다","조금 커졌다"
"422797","20241106","F","20대","대전광역시","무응답","비슷하다","비슷하다","비슷하다","조금 커졌다","조금 커졌다","비슷하다","조금 커졌다","비슷하다"
"425726","20241106","M","20대","경기도","무응답","조금 작아졌다","조금 작아졌다","비슷하다","비슷하다","조금 작아졌다","비슷하다","조금 커졌다","조금 작아졌다"
"426622","20241106","M","20대","인천광역시","무응답","조금 작아졌다","조금 커졌다","조금 커졌다","비슷하다","조금 커졌다","조금 커졌다","조금 커졌다","비슷하다"
