Title,Link,Press,Description
""하루 100개 넘게 팔리죠"…다이소 '품절 대란' 벌어진 제품","https://www.hankyung.com/article/202312287546g","한국경제언론사 선정","소비자들은 이를 오히려 긍정적인 요인으로 판단하고 있다. 사용감이 따끔해 호불호가 갈릴 수 있는 제품을 저렴한 가격에 체험할 수 있다는 이유에서다. 다이소 매장에서 리들샷을 찾던 20대 A씨는 "공식 홈페이지의 본품과 다이소 리들샷이 다른 것을 알고 있다"며 "피부에 안 맞을 수 있으니 다이소..."
""민생경제부터 살리자"… 세수부족에도 서민 세부담 낮춘다 [새해 경제...","http://www.fnnews.com/news/202312311933005635","파이낸셜뉴스언론사 선정","등락을 반복하는 내수 소비를 올해 상반기에 안정화시키겠다는 심산이다. 소비를 가리키는 소매판매지수는 전년동월 대비 7월부터 지속 감소세로 8월 5.... 전월세 보증금이 20대 이하 가구 금융자산의 70%를 차지하는 등 주거·민생 관련 사업이 지속될 예정이다. 지난해 종료 예정이었던 청년 월세..."
"[신년사설] 인구재앙 국가소멸을 두고만 볼 것인가","http://www.seoulwire.com/news/articleView.html?idxno=526867","서울와이어","인구의 급격한 감소와 고령화는 생산과 소비 등 경제와 공동체의 존속 기반을 잠식해 국가의 존립 자체를 어렵게 한다. 벌써 교육과 국방, 제조, 복지... 결혼에 대한 긍정적 태도는 20대 여성의 경우 27.5%에 불과했다. 30대 여성은 이 비율이 31.8%였다. 출산의 주체인 20~30대 여성의 70~80%가 결혼에 유보적인..."
"이재용의 초격차, 문화에서 출발해야 한다 [권상집의 논전(論戰)]","http://www.sisajournal.com/news/articleView.html?idxno=279800","시사저널언론사 선정","대한민국의 소비자는 무섭다. 홀대론이 퍼지면 불매운동을 가장 적극적으로 펼치는 것도 우리나라 소비자들이다. 그런데 희한하게 애플의 충성고객이... 애플을 프런티어 정신으로 읽는 MZ세대 애플 하남의 방문객 대다수는 10대와 20대였다. 애플 로고가 새겨진 텀블러를 받기 위해 전날 밤부터 기다렸다는..."
"[단독] 정의채 몬시뇰의 20대 사제 모습은...","http://monthly.chosun.com/client/mdaily/daily_view.asp?idx=18969&Newsnumb=20231218969","월간조선","그 이유인즉, 주임 신부가 되어 본당 재정 걱정, 사제관 생활비 걱정, 유급 전교회장들과 직원들 걱정 등으로 정력을 소비하기보다는 선교에만 열중하고 싶었다. 그래서 권 신부님이 새로 개척한 서대신동 본당 보좌로 가게 됐다. 이 초량동 성당에는 직장 없이 하루하루 막노동으로 생계를 유지하는 사람이..."
""가성비의 유혹"···4000만원대 EV 강자 누가 될까","http://www.enewstoday.co.kr/news/articleView.html?idxno=2074214","이뉴스투데이","올해 초 IT기업 신입사원이 된 20대 A씨는 직장과 자택 거리가 멀어 출퇴근 시간이 길어지자 자동차 구매 욕구가 커졌다. 특히 가성비가 좋은 소형... 있는 '신차 소비자 초기 반응(AIMM : Auto Initial Market Monitoring)' 조사에 따르면 이번달 중순 EX30에 대한 소비자 구입의향은 7%로 조사 이후 최고를..."
"[조맹기의 언론 톺아보기] 국정원 수사권 박탈은 김정은에게 상납한 최...","https://www.skyedaily.com/news/news_view.html?ID=216762","스카이데일리","20대 4.13 총선의 법률적 근거는 공직선거법 부칙(2016.3.3. 제14073호)은 헌법 제116조 제1항과 공직선거법 제60조 2, 1항 2호를 위반했다. 19대 국회는... 기업의 요소비용(노동임금·자본비용)을 대폭 절감시켜주지 않는 이상 기업살리기가 어렵습니다. 자연적으로 노동시장에서의 위의 악법들이 폐지될 경우..."
"김현우 SBA 대표 "서울콘 글로벌 미디어 행사로"","https://dealsite.co.kr/articles/115622","딜사이트","김 대표는 "서울의 매력이 세계의 중심지 미국 뉴욕의 그것과 비교해 결코 뒤떨어지지 않는다"라며 "미국 뉴욕을 포함한 세계 중심지의 10대~20대 소비자들은 K-콘텐츠를 보고 즐기면서 서울을 방문하기를 기대한다"고 해외 분위기를 전했다. 이어 "그들에게 영향을 주는 인플루언서를 서울에 모아 사람..."
"올해 뜨거웠던 사회 이슈 Top10…마약 범죄·전세사기·후쿠시마 오염수...","https://www.yeongnam.com/web/view.php?key=20231231010004265","영남일보","이 중 10~20대 마약사범은 7000명을 돌파했다. 전년 대비 50% 증가한 수치다.특히 배우 유아인과 이선균 등 다수의 연예인이 마약 투약 논란에... 전문가들은 오염수 방류가 우리나라에 거의 영향을 주지 않을 것이라고 분석했지만, 국민들 사이에서는 오염수 방류로 수산물 소비를 꺼리는..."
"[여기서, 바이소셜] 과천에서 자라나는 '아리랑 나무' 아리수, 민요를 노...","https://www.lifein.news/news/articleView.html?idxno=16537","라이프인","지난 2012년 영국에서 시작한 '바이소셜'(Buy Sicial, 상생소비) 캠페인은 사회적경제에 대한 인식을 제고하고 가치소비를 장려하는 일상 속 실천... 민요를 배경으로 20대, 30대, 40대 여성 캐릭터가 그들의 살아가는 삶을 이야기하는 작품이다. 올해 8월에는 수원시립미술관 아트스페이스 광교에서 미술작품을 풀어낸..."
