순위,역명,연간수송인원(명)
1,강남,34246003
2,잠실(2),27893250
3,신림,27308879
4,홍대입구,26328625
5,구로디지털단지,25976031
6,신도림,22522762
7,역삼,21307745
8,선릉,21304573
9,서울역(1),21058641
10,삼성,20998554
11,서울대입구,20312308
12,고속터미널(3),20039386
13,가산디지털단지(7),19915470
14,양재,18997009
15,종각,17577288
16,연신내(3),16852792
17,을지로입구,16808946
18,성수,16687939
19,압구정,16191260
20,신사,15959596
21,수유,15938202
22,혜화,15648146
23,사당(2),15126965
24,신촌,15095926
25,남부터미널,15025439
26,건대입구(2),14580349
27,합정(2),14118297
28,교대(2),13621005
29,까치산(5),13594835
30,쌍문,13365684
31,강변,12831075
32,미아사거리,12724574
33,광화문,12622385
34,창동,12544629
35,화곡,12269583
36,종로5가,12044019
37,종로3가(1),11967184
38,낙성대,11780353
39,여의도(5),11764712
40,회현,11675769
41,신대방,11653829
42,충무로(4),11268910
43,청량리,10925868
44,사당(4),10770524
45,문정,10768174
46,시청(1),10736607
47,대림(2),10466823
48,이수(총신대입구),10387459
49,뚝섬,10296685
50,오목교,10272273
51,광명사거리,10200941
52,학동,10051760
53,봉천,10017301
54,철산,9939691
55,구의,9867733
56,구파발,9858006
57,영등포구청(2),9662782
58,문래,9531845
59,시청(2),9527364
60,안국,9437273
61,제기동,9424656
62,동대문(4),9269572
63,경복궁,9228096
64,성신여대입구,9195839
65,길음,9188739
66,을지로3가(2),9178172
67,암사,9094943
68,장한평,9067370
69,명동,8862733
70,강동,8833725
71,잠실새내,8786988
72,서초,8723618
73,응암,8607893
74,장지,8554151
75,봉은사,8529024
76,상계,8515553
77,발산,8441353
78,노원(7),8398383
79,논현,8241896
80,당산,8148926
81,노원(4),8125282
82,홍제,8045904
83,서대문,8037088
84,청담,8024286
85,천호(5),7995832
86,하계,7996079
87,수서,7964703
88,목동,7759881
89,공덕(6),7728567
90,불광(3),7692333
91,사가정,7687905
92,상봉(7),7635702
93,신용산,7541166
94,답십리,7478480
95,면목,7317814
96,망원,7208478
97,천호(8),7199858
98,상일동,7077673
99,아차산,7039403
100,신대방삼거리,6912943
101,방배,6898490
102,이수(7),6878194
103,신설동(1),6866116
104,남구로,6842416
105,미아,6804308
106,미사,6755326
107,녹번,6627604
108,마포,6620402
109,잠실(8),6615369
110,왕십리(2),6577456
111,강남구청,6569953
112,한성대입구,6562120
113,고속터미널(7),6517120
114,남한산성입구,6502800
115,디지털미디어시티(6),6476132
116,마포구청,6455998
117,중계,6441092
118,신중동,6426111
119,상왕십리,6347850
120,석계(6),6335648
121,신당(2),6230635
122,우장산,6170488
123,내방,6123227
124,수락산,6095484
125,공덕(5),6072845
126,새절,6067000
127,숙대입구,5973025
128,매봉,5971536
129,잠실나루,5924473
130,상동,5915616
131,군자(7),5912098
132,이대,5884184
133,마들,5867567
134,동대문(1),5839267
135,서울역(4),5814751
136,부천시청,5782125
137,약수(3),5769645
138,동대문역사문화공원(4),5759050
139,어린이대공원,5746208
140,신정,5723148
141,여의나루,5715815
142,광나루,5713016
143,월곡,5630788
144,복정(8),5533777
145,공릉,5528920
146,당고개,5492733
147,교대(3),5463550
148,언주,5439578
149,이태원,5360828
150,화랑대,5246647
151,숭실대입구,5242725
152,을지로4가(2),5237829
153,종로3가(5),5228706
154,합정(6),5208812
155,강동구청,5204758
156,선정릉,5174720
157,건대입구(7),5151016
158,신풍,5142434
159,대치,5116824
160,동묘앞(1),5107915
161,단대오거리,5097055
162,동대문역사문화공원(2),5086460
163,안암,5057785
164,군자(5),4983276
165,중화,4925615
166,신정네거리,4904468
167,남성,4894625
168,증산,4892607
169,중앙보훈병원,4877668
170,종로3가(3),4860774
171,천왕,4732808
172,중곡,4717675
173,먹골,4668918
174,일원,4530386
175,아현,4495340
176,옥수,4481559
177,도봉산(7),4474005
178,돌곶이,4460046
179,상도,4415850
180,대청,4395368
181,봉화산,4370613
182,굽은다리,4337739
183,마곡,4226806
184,한강진,4218056
185,을지로3가(3),4181713
186,영등포시장,4181853
187,석촌(9),4144773
188,동묘앞(6),4142553
189,보라매,4139157
190,상수,4123856
191,충정로(2),4111027
192,뚝섬유원지,4104626
193,굴포천,4104630
194,둔촌동,4103333
195,고덕,4096530
196,춘의,4079698
197,동대입구,4035296
198,석촌(8),4034545
199,장승배기,4014640
200,거여,3941604
201,가락시장(3),3900863
202,온수(7),3893598
203,이촌,3890060
204,광흥창,3878500
205,명일,3876949
206,송파,3835004
207,고려대,3803766
208,길동,3749318
209,금호,3725561
210,대흥,3723990
211,행당,3704975
212,신당(6),3654749
213,가락시장(8),3648814
214,부평구청(7),3595988
215,경찰병원,3571324
216,태릉입구(7),3542145
217,삼전,3514743
218,대림(7),3507995
219,삼성중앙,3492135
220,한양대,3424822
221,구산,3366023
222,독립문,3350467
223,종합운동장(2),3332755
224,김포공항(5),3319568
225,보문,3305046
226,올림픽공원(9),3303782
227,양천구청,3239930
228,방이,3216999
229,까치울,3206141
230,양평(5),3178666
231,석촌고분,3166786
232,효창공원앞,3150920
233,마천,3117774
234,애오개,3076556
235,상월곡,3040163
236,몽촌토성,3023907
237,산성,3010175
238,방화,2994873
239,신금호,2993263
240,개롱,2987777
241,용마산,2907371
242,송정,2754648
243,송파나루,2619868
244,태릉입구(6),2586595
245,오금(3),2560727
246,도곡,2512775
247,녹사평,2502913
248,마장,2496529
249,하남시청,1883306
250,수진,2445892
251,삼각지(6),2424317
252,개화산,2403087
253,반포,2360975
254,하남검단산,1775404
255,월드컵경기장,2301698
256,삼각지(4),2298423
257,삼산체육관,2297224
258,종합운동장(9),2277699
259,잠원,2266330
260,신흥,2247787
261,을지로4가(5),2141103
262,지축,1996641
263,충정로(5),1974963
264,부천종합운동장,1956623
265,불광(6),1918391
266,역촌,1910116
267,올림픽공원(5),1875890
268,하남풍산,1865970
269,무악재,1854940
270,남위례,68691
271,왕십리(5),1744188
272,신길(5),1736508
273,약수(6),1666080
274,모란(8),1661796
275,창신,1658167
276,청구(5),1650647
277,신설동(2),1644862
278,청구(6),1635539
279,강일,1220894
280,오금(5),1495506
281,영등포구청(5),1467601
282,독바위,1371057
283,동작,1351697
284,한성백제,1235113
285,동대문역사문화공원(5),1172275
286,용답,1146649
287,버티고개,1025051
288,학여울,1003549
289,용두,968968
290,장암,884954
291,도림천,670944
292,남태령,617650
293,신답,597860
294,둔촌오륜,545194
