순위,호선,역번호,역명,연간수송인원(명)
1,2,239,홍대입구,39441541
2,2,216,잠실(2),37873306
3,2,222,강남,37224977
4,1,150,서울역(1),31086993
5,2,232,구로디지털단지,28687464
6,2,230,신림,27296469
7,2,219,삼성,27142292
8,3,329,고속터미널(3),26726964
9,2,234,신도림,26516158
10,2,221,역삼,25489268
11,2,220,선릉,25263221
12,2,202,을지로입구,24369226
13,1,152,종각,23928853
14,7,2748,가산디지털단지(7),23154534
15,2,228,서울대입구,22791025
16,2,211,성수,21891061
17,4,420,혜화,21561908
18,3,332,양재,20993842
19,2,240,신촌,20430579
20,2,226,사당(2),19472335
21,4,424,명동,18979928
22,3,326,압구정,18853050
23,4,414,수유,18380683
24,3,311,연신내(3),17825072
25,2,212,건대입구(2),17819728
26,2,238,합정(2),17673770
27,3,331,남부터미널,17586484
28,3,327,신사,16838542
29,5,2534,광화문,16651412
30,1,151,시청(1),15800255
31,1,154,종로5가,15579289
32,4,425,회현,15359613
33,2,214,강변,15203625
34,4,423,충무로(4),15177435
35,2,223,교대(2),15129373
36,5,2519,까치산(5),15086758
37,4,413,쌍문,15053409
38,3,318,안국,15026942
39,1,153,종로3가(1),14548237
40,5,2527,여의도(5),14484302
41,4,412,창동,14296026
42,5,2518,화곡,14205811
43,3,317,경복궁,14205562
44,4,416,미아사거리,14111131
45,4,433,사당(4),13885243
46,2,227,낙성대,13689257
47,9,4129,봉은사,13541023
48,2,210,뚝섬,12824470
49,2,231,신대방,12814661
50,2,201,시청(2),12770574
51,1,158,청량리,12625932
52,2,203,을지로3가(2),12245518
53,7,2749,철산,12133743
54,2,233,대림(2),12052354
55,4,432,이수(총신대입구),11910024
56,8,2819,문정,11883400
57,7,2733,학동,11862072
58,3,310,구파발,11790947
59,2,213,구의,11599161
60,5,2522,오목교,11533517
61,4,417,길음,11528079
62,2,229,봉천,11485918
63,2,235,문래,11468428
64,7,2750,광명사거리,11418027
65,4,418,성신여대입구,11253987
66,2,217,잠실새내,11211533
67,4,421,동대문(4),10817374
68,5,2516,발산,10753102
69,4,429,신용산,10642798
70,2,224,서초,10638868
71,1,157,제기동,10633386
72,5,2544,장한평,10606584
73,2,236,영등포구청(2),10593150
74,8,2811,암사,10284515
75,3,339,수서,10086424
76,5,2533,서대문,10066674
77,7,2715,노원(7),10061919
78,4,410,상계,9947362
79,5,2549,강동,9863333
80,4,411,노원(4),9820432
81,6,2611,응암,9764807
82,8,2820,장지,9604787
83,3,314,홍제,9602609
84,7,2731,청담,9552183
85,7,2717,하계,9491275
86,5,2548,천호(5),9445065
87,6,2627,공덕(6),9359743
88,2,237,당산,9259117
89,2,241,이대,8820979
90,7,2722,상봉(7),8817015
91,7,2728,어린이대공원,8754236
92,8,2815,잠실(8),8748412
93,5,2521,목동,8742922
94,3,312,불광(3),8704101
95,5,2563,미사,8670309
96,7,2724,사가정,8649557
97,5,2543,답십리,8563679
98,7,2736,고속터미널(7),8558381
99,5,2528,여의나루,8529627
100,6,2622,망원,8506407
101,7,2734,논현,8451323
102,4,426,서울역(4),8450556
103,4,422,동대문역사문화공원(4),8362945
104,7,2738,이수(7),8300099
105,2,225,방배,8267167
106,7,2723,면목,8212943
107,7,2747,남구로,8143430
108,7,2732,강남구청,8106899
109,8,2812,천호(8),8070674
110,5,2546,아차산,8000443
111,4,427,숙대입구,7991088
112,6,2619,디지털미디어시티(6),7989429
113,4,415,미아,7952294
114,5,2529,마포,7907401
115,3,313,녹번,7901060
116,4,419,한성대입구,7836335
117,1,156,신설동(1),7769591
118,7,2716,중계,7703325
119,2,208,왕십리(2),7654494
120,7,2743,신대방삼거리,7607757
121,6,2640,안암,7544508
122,8,2823,남한산성입구,7496302
123,6,2621,마포구청,7481020
124,2,206,신당(2),7458841
125,5,2554,상일동,7401881
126,7,2740,숭실대입구,7401030
127,7,2737,내방,7375473
128,5,2535,종로3가(5),7356808
129,6,2631,이태원,7329912
130,5,2517,우장산,7324452
131,2,207,상왕십리,7314629
132,6,2645,석계(6),7292437
133,2,215,잠실나루,7278870
134,3,330,교대(3),7233187
135,5,2530,공덕(5),7182716
136,5,2547,광나루,7033752
137,2,205,동대문역사문화공원(2),7007394
138,7,2727,군자(7),6995572
139,6,2642,월곡,6953757
140,7,2714,마들,6901029
141,6,2617,새절,6883956
142,7,2729,건대입구(7),6833946
143,3,333,매봉,6832157
144,9,4126,언주,6814674
145,7,2713,수락산,6768301
146,1,155,동대문(1),6749759
147,3,323,약수(3),6737271
